gvkey,iid,gvkeyx,from,thru,tic,cik,fdate,form,coname,fname
001078,01,000003,1964-03-31,,ABT,0000001800,2023-02-17,10-K,ABBOTT LABORATORIES,edgar/data/1800/0001628280-23-004026.txt
001161,01,000003,2017-03-20,,AMD,0000002488,2023-02-27,10-K,ADVANCED MICRO DEVICES INC,edgar/data/2488/0000002488-23-000047.txt
001209,01,000003,1985-04-30,,APD,0000002969,2023-11-16,10-K,"Air Products & Chemicals, Inc.",edgar/data/2969/0000002969-23-000047.txt
001327,01,000003,2015-03-12,,SWKS,0000004127,2023-11-17,10-K,"SKYWORKS SOLUTIONS, INC.",edgar/data/4127/0000004127-23-000030.txt
001440,01,000003,1964-03-31,,AEP,0000004904,2023-02-23,10-K,AMERICAN ELECTRIC POWER CO INC,edgar/data/4904/0000004904-23-000011.txt
001447,01,000003,1976-06-30,,AXP,0000004962,2023-02-10,10-K,AMERICAN EXPRESS CO,edgar/data/4962/0000004962-23-000006.txt
001449,01,000003,1999-05-28,,AFL,0000004977,2023-02-24,10-K,AFLAC INC,edgar/data/4977/0000004977-23-000055.txt
001487,01,000003,1980-03-31,,AIG,0000005272,2023-02-17,10-K,"AMERICAN INTERNATIONAL GROUP, INC.",edgar/data/5272/0000005272-23-000007.txt
001632,01,000003,1999-10-12,,ADI,0000006281,2023-11-21,10-K,ANALOG DEVICES INC,edgar/data/6281/0000006281-23-000203.txt
001678,01,000003,1997-07-28,,APA,0000006769,2023-02-23,10-K,APACHE CORP,edgar/data/6769/0001784031-23-000008.txt
001690,01,000003,1982-11-30,,AAPL,0000320193,2023-11-03,10-K,Apple Inc.,edgar/data/320193/0000320193-23-000106.txt
001704,01,000003,1995-03-16,,AMAT,0000006951,2023-12-15,10-K,APPLIED MATERIALS INC /DE,edgar/data/6951/0000006951-23-000041.txt
001722,01,000003,1981-07-29,,ADM,0000007084,2023-02-14,10-K,Archer-Daniels-Midland Co,edgar/data/7084/0000007084-23-000010.txt
001891,01,000003,1981-03-31,,ADP,0000008670,2023-08-03,10-K,AUTOMATIC DATA PROCESSING INC,edgar/data/8670/0000008670-23-000030.txt
001913,01,000003,1987-12-31,,AVY,0000008818,2023-02-22,10-K,Avery Dennison Corp,edgar/data/8818/0000008818-23-000002.txt
005047,01,000003,1964-03-31,,GE,0000040545,2023-02-10,10-K,GENERAL ELECTRIC CO,edgar/data/40545/0000040545-23-000023.txt
006066,01,000003,1964-03-31,,IBM,0000051143,2023-02-28,10-K,INTERNATIONAL BUSINESS MACHINES CORP,edgar/data/51143/0001558370-23-002376.txt
028192,01,000003,2016-11-01,,HWM,0000004281,2023-02-14,10-K,Howmet Aerospace Inc.,edgar/data/4281/0000004281-23-000004.txt
