file_name,file_path,filing_date,form_type,cik,accession_number
20101001_10-K-A_edgar_data_1024075_0001144204-10-051914.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101001_10-K-A_edgar_data_1024075_0001144204-10-051914.txt,20101001,10-K-A,1024075,0001144204-10-051914
20101001_10-K-A_edgar_data_1120830_0001144204-10-051831.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101001_10-K-A_edgar_data_1120830_0001144204-10-051831.txt,20101001,10-K-A,1120830,0001144204-10-051831
20101001_10-K-A_edgar_data_1450973_0001004878-10-000182.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101001_10-K-A_edgar_data_1450973_0001004878-10-000182.txt,20101001,10-K-A,1450973,0001004878-10-000182
20101001_10-K_edgar_data_1076930_0001193125-10-221865.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101001_10-K_edgar_data_1076930_0001193125-10-221865.txt,20101001,10-K,1076930,0001193125-10-221865
20101001_10-K_edgar_data_1089319_0001121781-10-000356.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101001_10-K_edgar_data_1089319_0001121781-10-000356.txt,20101001,10-K,1089319,0001121781-10-000356
20101001_10-K_edgar_data_1111284_0001161697-10-000918.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101001_10-K_edgar_data_1111284_0001161697-10-000918.txt,20101001,10-K,1111284,0001161697-10-000918
20101001_10-K_edgar_data_1342053_0001079974-10-000522.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101001_10-K_edgar_data_1342053_0001079974-10-000522.txt,20101001,10-K,1342053,0001079974-10-000522
20101001_10-K_edgar_data_1358651_0001104659-10-050911.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101001_10-K_edgar_data_1358651_0001104659-10-050911.txt,20101001,10-K,1358651,0001104659-10-050911
20101001_10-K_edgar_data_732026_0001415889-10-000383.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101001_10-K_edgar_data_732026_0001415889-10-000383.txt,20101001,10-K,732026,0001415889-10-000383
20101001_10-K_edgar_data_73605_0000073605-10-000005.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101001_10-K_edgar_data_73605_0000073605-10-000005.txt,20101001,10-K,73605,0000073605-10-000005
20101001_10-K_edgar_data_743758_0001065949-10-000164.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101001_10-K_edgar_data_743758_0001065949-10-000164.txt,20101001,10-K,743758,0001065949-10-000164
20101004_10-K-A_edgar_data_1089531_0001144204-10-052172.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101004_10-K-A_edgar_data_1089531_0001144204-10-052172.txt,20101004,10-K-A,1089531,0001144204-10-052172
20101004_10-K-A_edgar_data_1099132_0001013762-10-002385.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101004_10-K-A_edgar_data_1099132_0001013762-10-002385.txt,20101004,10-K-A,1099132,0001013762-10-002385
20101004_10-K-A_edgar_data_1168990_0000950123-10-091108.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101004_10-K-A_edgar_data_1168990_0000950123-10-091108.txt,20101004,10-K-A,1168990,0000950123-10-091108
20101004_10-K-A_edgar_data_1300867_0001415408-10-000534.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101004_10-K-A_edgar_data_1300867_0001415408-10-000534.txt,20101004,10-K-A,1300867,0001415408-10-000534
20101004_10-K-A_edgar_data_1368055_0001140361-10-039399.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101004_10-K-A_edgar_data_1368055_0001140361-10-039399.txt,20101004,10-K-A,1368055,0001140361-10-039399
20101004_10-K-A_edgar_data_1403676_0001354488-10-003086.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101004_10-K-A_edgar_data_1403676_0001354488-10-003086.txt,20101004,10-K-A,1403676,0001354488-10-003086
20101004_10-K-A_edgar_data_1433147_0000950123-10-091110.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101004_10-K-A_edgar_data_1433147_0000950123-10-091110.txt,20101004,10-K-A,1433147,0000950123-10-091110
20101004_10-K-A_edgar_data_904350_0001144204-10-052260.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101004_10-K-A_edgar_data_904350_0001144204-10-052260.txt,20101004,10-K-A,904350,0001144204-10-052260
20101004_10-K_edgar_data_1060426_0001096906-10-001251.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101004_10-K_edgar_data_1060426_0001096906-10-001251.txt,20101004,10-K,1060426,0001096906-10-001251
20101004_10-K_edgar_data_1067873_0001067873-10-000025.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101004_10-K_edgar_data_1067873_0001067873-10-000025.txt,20101004,10-K,1067873,0001067873-10-000025
20101004_10-K_edgar_data_1084067_0001084067-10-000111.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101004_10-K_edgar_data_1084067_0001084067-10-000111.txt,20101004,10-K,1084067,0001084067-10-000111
20101004_10-K_edgar_data_1368275_0001062993-10-003226.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101004_10-K_edgar_data_1368275_0001062993-10-003226.txt,20101004,10-K,1368275,0001062993-10-003226
20101004_10-K_edgar_data_803014_0001193125-10-223088.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101004_10-K_edgar_data_803014_0001193125-10-223088.txt,20101004,10-K,803014,0001193125-10-223088
20101005_10-K-A_edgar_data_1034592_0001193125-10-223627.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101005_10-K-A_edgar_data_1034592_0001193125-10-223627.txt,20101005,10-K-A,1034592,0001193125-10-223627
20101005_10-K-A_edgar_data_1091312_0001104659-10-051238.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101005_10-K-A_edgar_data_1091312_0001104659-10-051238.txt,20101005,10-K-A,1091312,0001104659-10-051238
20101005_10-K-A_edgar_data_1357459_0001144204-10-052342.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101005_10-K-A_edgar_data_1357459_0001144204-10-052342.txt,20101005,10-K-A,1357459,0001144204-10-052342
20101005_10-K-A_edgar_data_1365555_0001144204-10-052402.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101005_10-K-A_edgar_data_1365555_0001144204-10-052402.txt,20101005,10-K-A,1365555,0001144204-10-052402
20101005_10-K-A_edgar_data_1424640_0001213900-10-004044.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101005_10-K-A_edgar_data_1424640_0001213900-10-004044.txt,20101005,10-K-A,1424640,0001213900-10-004044
20101005_10-K-A_edgar_data_868267_0000868267-10-000010.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101005_10-K-A_edgar_data_868267_0000868267-10-000010.txt,20101005,10-K-A,868267,0000868267-10-000010
20101005_10-K_edgar_data_1084067_0001084067-10-000119.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101005_10-K_edgar_data_1084067_0001084067-10-000119.txt,20101005,10-K,1084067,0001084067-10-000119
20101005_10-K_edgar_data_1320947_0000950123-10-091408.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101005_10-K_edgar_data_1320947_0000950123-10-091408.txt,20101005,10-K,1320947,0000950123-10-091408
20101005_10-K_edgar_data_1351765_0001117768-10-000316.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101005_10-K_edgar_data_1351765_0001117768-10-000316.txt,20101005,10-K,1351765,0001117768-10-000316
20101005_10-K_edgar_data_32776_0000032776-10-000010.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101005_10-K_edgar_data_32776_0000032776-10-000010.txt,20101005,10-K,32776,0000032776-10-000010
20101006_10-K-A_edgar_data_1024075_0001144204-10-052625.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101006_10-K-A_edgar_data_1024075_0001144204-10-052625.txt,20101006,10-K-A,1024075,0001144204-10-052625
20101006_10-K-A_edgar_data_1133818_0001144204-10-052592.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101006_10-K-A_edgar_data_1133818_0001144204-10-052592.txt,20101006,10-K-A,1133818,0001144204-10-052592
20101006_10-K-A_edgar_data_1137789_0001104659-10-051297.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101006_10-K-A_edgar_data_1137789_0001104659-10-051297.txt,20101006,10-K-A,1137789,0001104659-10-051297
20101006_10-K-A_edgar_data_1397645_0001127855-10-000384.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101006_10-K-A_edgar_data_1397645_0001127855-10-000384.txt,20101006,10-K-A,1397645,0001127855-10-000384
20101006_10-K-A_edgar_data_1431936_0001144204-10-052680.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101006_10-K-A_edgar_data_1431936_0001144204-10-052680.txt,20101006,10-K-A,1431936,0001144204-10-052680
20101006_10-K-A_edgar_data_1436229_0001213900-10-004073.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101006_10-K-A_edgar_data_1436229_0001213900-10-004073.txt,20101006,10-K-A,1436229,0001213900-10-004073
20101006_10-K-A_edgar_data_724941_0001437749-10-003257.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101006_10-K-A_edgar_data_724941_0001437749-10-003257.txt,20101006,10-K-A,724941,0001437749-10-003257
20101006_10-K-A_edgar_data_774937_0001225279-10-000150.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101006_10-K-A_edgar_data_774937_0001225279-10-000150.txt,20101006,10-K-A,774937,0001225279-10-000150
20101006_10-K_edgar_data_1061169_0001061169-10-000008.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101006_10-K_edgar_data_1061169_0001061169-10-000008.txt,20101006,10-K,1061169,0001061169-10-000008
20101006_10-K_edgar_data_1297341_0001144204-10-052616.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101006_10-K_edgar_data_1297341_0001144204-10-052616.txt,20101006,10-K,1297341,0001144204-10-052616
20101006_10-K_edgar_data_1373683_0001204459-10-002364.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101006_10-K_edgar_data_1373683_0001204459-10-002364.txt,20101006,10-K,1373683,0001204459-10-002364
