gvkey,iid,gvkeyx,from,thru,tic,cik,fdate,form,coname,fname
001075,01,000003,1999-10-04,,PNW,0000764622,,,,
001078,01,000003,1964-03-31,,ABT,0000001800,2023-02-17,10-K,ABBOTT LABORATORIES,edgar/data/1800/0001628280-23-004026.txt
001161,01,000003,2017-03-20,,AMD,0000002488,2023-02-27,10-K,ADVANCED MICRO DEVICES INC,edgar/data/2488/0000002488-23-000047.txt
001209,01,000003,1985-04-30,,APD,0000002969,2023-11-16,10-K,"Air Products & Chemicals, Inc.",edgar/data/2969/0000002969-23-000047.txt
001300,01,000003,1964-03-31,,HON,0000773840,,,,
001327,01,000003,2015-03-12,,SWKS,0000004127,2023-11-17,10-K,"SKYWORKS SOLUTIONS, INC.",edgar/data/4127/0000004127-23-000030.txt
001440,01,000003,1964-03-31,,AEP,0000004904,2023-02-23,10-K,AMERICAN ELECTRIC POWER CO INC,edgar/data/4904/0000004904-23-000011.txt
001447,01,000003,1976-06-30,,AXP,0000004962,2023-02-10,10-K,AMERICAN EXPRESS CO,edgar/data/4962/0000004962-23-000006.txt
001449,01,000003,1999-05-28,,AFL,0000004977,2023-02-24,10-K,AFLAC INC,edgar/data/4977/0000004977-23-000055.txt
001487,01,000003,1980-03-31,,AIG,0000005272,2023-02-17,10-K,"AMERICAN INTERNATIONAL GROUP, INC.",edgar/data/5272/0000005272-23-000007.txt
001598,01,000003,2013-09-23,,AME,0001037868,,,,
001602,01,000003,1992-01-02,,AMGN,0000318154,,,,
001632,01,000003,1999-10-12,,ADI,0000006281,2023-11-21,10-K,ANALOG DEVICES INC,edgar/data/6281/0000006281-23-000203.txt
001678,01,000003,1997-07-28,,APA,0001841666,,,,
001690,01,000003,1982-11-30,,AAPL,0000320193,2023-11-03,10-K,Apple Inc.,edgar/data/320193/0000320193-23-000106.txt
001704,01,000003,1995-03-16,,AMAT,0000006951,2023-12-15,10-K,APPLIED MATERIALS INC /DE,edgar/data/6951/0000006951-23-000041.txt
001722,01,000003,1981-07-29,,ADM,0000007084,2023-02-14,10-K,Archer-Daniels-Midland Co,edgar/data/7084/0000007084-23-000010.txt
001878,01,000003,1989-12-01,,ADSK,0000769397,,,,
001891,01,000003,1981-03-31,,ADP,0000008670,2023-08-03,10-K,AUTOMATIC DATA PROCESSING INC,edgar/data/8670/0000008670-23-000030.txt
001913,01,000003,1987-12-31,,AVY,0000008818,2023-02-22,10-K,Avery Dennison Corp,edgar/data/8818/0000008818-23-000002.txt
001988,01,000003,1984-10-31,,BALL,0000009389,,,,
002019,01,000003,1995-03-31,,BK,0001390777,,,,
002086,01,000003,1972-09-30,,BAX,0000010456,,,,
002111,01,000003,1972-09-30,,BDX,0000010795,,,,
002136,01,000003,1983-11-30,,VZ,0000732712,,,,
002176,02,000003,2010-02-16,,BRK.B,0001067983,,,,
002184,01,000003,1999-06-30,,BBY,0000764478,,,,
002285,01,000003,1964-03-31,,BA,0000012927,,,,
002403,01,000003,1964-03-31,,BMY,0000014272,,,,
002435,01,000003,1982-10-31,,BF.B,0000014693,,,,
002547,01,000003,1976-06-30,,CI,0001739940,,,,
002574,01,000003,1967-09-30,,CSX,0000277948,,,,
002663,01,000003,1964-03-31,,CPB,0000016732,,,,
002710,02,000003,2005-07-05,,STZ,0000016918,,,,
002751,01,000003,1997-05-27,,CAH,0000721371,,,,
002817,01,000003,1964-03-31,,CAT,0000018230,,,,
002968,01,000003,1976-06-30,,JPM,0000019617,,,,
002991,01,000003,1964-03-31,,CVX,0000093410,,,,
003026,01,000003,2015-12-29,,CHD,0000313927,,,,
003062,01,000003,2001-03-01,,CTAS,0000723254,,,,
003121,01,000003,1969-03-31,,CLX,0000021076,,,,
003144,01,000003,1964-03-31,,KO,0000021344,,,,
003170,01,000003,1964-03-31,,CL,0000021665,,,,
003221,01,000003,1996-04-23,,AON,0000315293,,,,
003226,01,000003,2002-11-19,,CMCSA,0001166691,,,,
003243,01,000003,1988-05-31,,C,0000831001,,,,
003362,01,000003,1983-08-31,,CAG,0000023217,,,,
003413,01,000003,1964-03-31,,ED,0001047862,,,,
003439,01,000003,1999-05-03,,CMS,0000811156,,,,
003504,01,000003,2016-09-23,,COO,0000711404,,,,
003505,01,000003,1976-06-30,,TAP,0000024545,,,,
003532,01,000003,1964-03-31,,GLW,0000024741,,,,
003650,01,000003,1965-03-31,,CMI,0000026172,,,,
003735,01,000003,1998-11-18,,DHR,0000313616,,,,
003813,01,000003,1976-12-31,,TGT,0000027419,,,,
003835,01,000003,1964-03-31,,DE,0000315189,,,,
003851,03,000003,2013-09-11,,DAL,0000027904,,,,
003897,01,000003,1964-03-31,,DTE,0000936340,,,,
003980,01,000003,1976-06-30,,DIS,0001744489,,,,
004016,02,000003,2012-12-03,,DG,0000029534,,,,
004029,01,000003,1964-03-31,,D,0000715957,,,,
004058,01,000003,1985-10-31,,DOV,0000029905,,,,
004060,01,000003,1964-03-31,,DD,0001666700,,,,
004066,01,000003,1997-12-24,,OMC,0000029989,,,,
004093,01,000003,1976-06-30,,DUK,0001326160,,,,
004145,01,000003,1985-05-31,,RVTY,0000031791,,,,
004199,01,000003,1964-03-31,,ETN,0001551182,,,,
004213,01,000003,1989-01-31,,ECL,0000031462,,,,
004321,01,000003,1965-03-31,,EMR,0000032604,,,,
004383,01,000003,2019-02-15,,ATO,0000731802,,,,
004423,01,000003,1997-06-19,,EFX,0000033185,,,,
004430,01,000003,2022-10-03,,EQT,0000033213,,,,
004494,01,000003,2007-10-10,,EXPD,0000746515,,,,
004503,01,000003,1964-03-31,,XOM,0000034088,,,,
004517,01,000003,1976-06-30,,NEE,0000753308,,,,
004598,01,000003,1980-12-31,,FDX,0001048911,,,,
004605,01,000003,2016-02-01,,FRT,0000034903,,,,
004640,01,000003,1996-03-08,,FITB,0000035527,,,,
004674,01,000003,1998-08-28,,RF,0001281761,,,,
004699,01,000003,2004-02-27,,MTB,0000036270,,,,
004723,01,000003,1999-01-04,,USB,0000036104,,,,
004839,01,000003,1964-03-31,,F,0000037996,,,,
004885,01,000003,1998-04-29,,BEN,0000038777,,,,
004973,01,000003,2016-05-31,,AJG,0000354190,,,,
005046,01,000003,1964-03-31,,GD,0000040533,,,,
005047,01,000003,1964-03-31,,GE,0000040545,2023-02-10,10-K,GENERAL ELECTRIC CO,edgar/data/40545/0000040545-23-000023.txt
005071,01,000003,1969-03-31,,GIS,0000040704,,,,
005073,19,000003,2013-06-07,,GM,0001467858,,,,
005125,01,000003,1973-12-31,,GPC,0000040987,,,,
005256,01,000003,1981-06-30,,GWW,0000277135,,,,
005439,01,000003,1964-03-31,,HAL,0000045012,,,,
005492,01,000003,2008-09-22,,LHX,0000202058,,,,
005518,01,000003,1984-09-30,,HAS,0000046080,,,,
005543,01,000003,2009-01-30,,WELL,0000766704,,,,
005568,04,000003,2015-07-03,,KHC,0001637459,,,,
005597,01,000003,1964-03-31,,HSY,0000047111,,,,
005606,01,000003,1974-12-31,,HPQ,0000047217,,,,
005643,04,000003,2017-06-19,,HLT,0001585689,,,,
005680,01,000003,1988-03-31,,HD,0000354950,,,,
005709,01,000003,2009-03-04,,HRL,0000048465,,,,
005742,01,000003,1985-07-31,,CNP,0001130310,,,,
005783,01,000003,2015-07-01,,JBHT,0000728535,,,,
005786,01,000003,1997-08-06,,HBAN,0000049196,,,,
005878,01,000003,1986-02-28,,ITW,0000049826,,,,
005959,01,000003,2010-11-17,,TT,0001466258,,,,
006008,01,000003,1976-12-31,,INTC,0000050863,,,,
006066,01,000003,1964-03-31,,IBM,0000051143,2023-02-28,10-K,INTERNATIONAL BUSINESS MACHINES CORP,edgar/data/51143/0001558370-23-002376.txt
006078,01,000003,1976-03-31,,IFF,0000051253,,,,
006104,01,000003,1964-03-31,,IP,0000051434,,,,
006216,01,000003,2007-10-26,,J,0000052988,,,,
006266,01,000003,1973-06-30,,JNJ,0000200406,,,,
006268,01,000003,1986-05-31,,JCI,0000833444,,,,
006304,01,000003,1997-09-15,,KLAC,0000319201,,,,
