gvkey,iid,gvkeyx,from,thru,tic
126554,01,000003,2000-06-05,,A
001690,01,000003,1982-11-30,,AAPL
016101,01,000003,2013-01-02,,ABBV
001078,01,000003,1964-03-31,,ABT
061302,01,000003,2022-11-01,,ACGL
143357,01,000003,2011-07-06,,ACN
012540,01,000003,1997-05-06,,ADBE
001632,01,000003,1999-10-12,,ADI
001722,01,000003,1981-07-29,,ADM
001891,01,000003,1981-03-31,,ADP
001878,01,000003,1989-12-01,,ADSK
010860,01,000003,1991-09-19,,AEE
001440,01,000003,1964-03-31,,AEP
024216,01,000003,1998-10-02,,AES
001449,01,000003,1999-05-28,,AFL
001487,01,000003,1980-03-31,,AIG
157057,01,000003,2007-04-10,,AIZ
004973,01,000003,2016-05-31,,AJG
125595,01,000003,2007-07-12,,AKAM
029751,01,000003,2016-07-01,,ALB
141384,01,000003,2017-06-19,,ALGN
028349,01,000003,1995-07-13,,ALL
316056,01,000003,2013-12-02,,ALLE
001704,01,000003,1995-03-16,,AMAT
100243,03,000003,2019-06-12,,AMCR
001161,01,000003,2017-03-20,,AMD
001598,01,000003,2013-09-23,,AME
001602,01,000003,1992-01-02,,AMGN
164708,01,000003,2005-10-03,,AMP
105365,01,000003,2007-11-19,,AMT
064768,01,000003,2005-11-21,,AMZN
020748,01,000003,2018-08-28,,ANET
003221,01,000003,1996-04-23,,AON
009771,02,000003,2017-07-26,,AOS
001678,01,000003,1997-07-28,,APA
001209,01,000003,1985-04-30,,APD
014282,01,000003,2008-09-30,,APH
118122,04,000003,2012-12-24,,APTV
064821,01,000003,2017-03-20,,ARE
004383,01,000003,2019-02-15,,ATO
029875,01,000003,2007-01-10,,AVB
180711,01,000003,2014-05-08,,AVGO
001913,01,000003,1987-12-31,,AVY
179437,01,000003,2016-03-04,,AWK
001447,01,000003,1976-06-30,,AXP
023809,01,000003,1997-01-02,,AZO
002285,01,000003,1964-03-31,,BA
007647,01,000003,1976-06-30,,BAC
001988,01,000003,1984-10-31,,BALL
002086,01,000003,1972-09-30,,BAX
002184,01,000003,1999-06-30,,BBY
002111,01,000003,1972-09-30,,BDX
004885,01,000003,1998-04-29,,BEN
002435,01,000003,1982-10-31,,BF.B
024468,01,000003,2003-11-13,,BIIB
002019,01,000003,1995-03-31,,BK
119314,01,000003,2009-11-06,,BKNG
032106,01,000003,2017-07-07,,BKR
124434,01,000003,2011-04-04,,BLK
002403,01,000003,1964-03-31,,BMY
176928,01,000003,2018-06-18,,BR
002176,02,000003,2010-02-16,,BRK.B
015417,01,000003,2021-09-20,,BRO
025279,01,000003,1995-02-24,,BSX
064925,01,000003,2006-04-03,,BXP
003243,01,000003,1988-05-31,,C
003362,01,000003,1983-08-31,,CAG
002751,01,000003,1997-05-27,,CAH
036191,01,000003,2020-04-03,,CARR
