permno,permco,date,prc,shrout,market_equity,ticker,comnam,shrcd,exchcd,ncusip,rank
11850,20678,2010-12-31,73.12,5042557.0,368711767.84000003,XOM,EXXON MOBIL CORP,11,1,30231G10,1
14593,7,2010-12-31,322.56,921035.0,297089049.6,AAPL,APPLE INC,11,3,03783310,2
10107,8048,2010-12-31,27.91,8403000.0,234527730.0,MSFT,MICROSOFT CORP,11,3,59491810,3
12060,20792,2010-12-31,18.29,10654718.0,194874792.22,GE,GENERAL ELECTRIC CO,11,1,36960410,4
55976,21880,2010-12-31,53.93,3561994.0,192098336.42,WMT,WAL MART STORES INC,11,1,93114210,5
14541,20440,2010-12-31,91.25,2012428.0,183634055.0,CVX,CHEVRON CORP NEW,11,1,16676410,6
12490,20990,2010-12-31,146.75999,1242361.0,182328887.93638998,IBM,INTERNATIONAL BUSINESS MACHS COR,11,1,45920010,7
18163,21446,2010-12-31,64.33,2799193.0,180072085.69,PG,PROCTER & GAMBLE CO,11,1,74271810,8
66093,21645,2010-12-31,29.38,5910000.0,173635800.0,T,A T & T INC,11,1,00206R10,9
22111,21018,2010-12-31,61.85,2746254.0,169855809.9,JNJ,JOHNSON & JOHNSON,11,1,47816010,10
47896,20436,2010-12-31,42.42,3909181.0,165827458.02,JPM,JPMORGAN CHASE & CO,11,1,46625H10,11
38703,21305,2010-12-31,30.99,5248756.0,162658948.44,WFC,WELLS FARGO & CO NEW,11,1,94974610,12
10104,8045,2010-12-31,31.3,5052420.0,158140746.0,ORCL,ORACLE CORP,11,3,68389X10,13
11308,20468,2010-12-31,65.77,2322034.0,152720176.17999998,KO,COCA COLA CO,11,1,19121610,14
90319,45483,2010-12-31,593.96997,243611.0,144697618.36167,GOOG,GOOGLE INC,11,3,38259P50,15
21936,21394,2010-12-31,17.51,8009951.0,140254242.01000002,PFE,PFIZER INC,11,1,71708110,16
70519,20483,2010-12-31,4.73,29049600.0,137404608.0,C,CITIGROUP INC,11,1,17296710,17
59408,3151,2010-12-31,13.34,10085147.0,134535860.98,BAC,BANK OF AMERICA CORP,11,1,06050510,18
59328,2367,2010-12-31,21.03,5511000.0,115896330.0,INTC,INTEL CORP,11,3,45814010,19
17778,540,2010-12-31,120450.0,956.0,115150200.0,BRK,BERKSHIRE HATHAWAY INC DEL,11,1,08467010,20
76076,10486,2010-12-31,20.23,5542762.0,112130075.26,CSCO,CISCO SYSTEMS INC,11,3,17275R10,21
22752,21188,2010-12-31,36.04,3080881.0,111034951.24,MRK,MERCK & CO INC NEW,11,1,58933Y10,22
92602,52978,2010-12-31,58.53,1814394.0,106196480.82000001,PM,PHILIP MORRIS INTERNATIONAL INC,11,1,71817210,23
13856,21384,2010-12-31,65.33,1584841.0,103537662.53,PEP,PEPSICO INC,11,1,71344810,24
65875,20288,2010-12-31,35.78,2826783.0,101142295.74000001,VZ,VERIZON COMMUNICATIONS INC,11,1,92343V10,25
13928,21401,2010-12-31,68.1,1469225.0,100054222.49999999,COP,CONOCOPHILLIPS,11,1,20825C10,26
27828,20908,2010-12-31,42.1,2190426.0,92216934.60000001,HPQ,HEWLETT PACKARD CO,11,1,42823610,27
86868,35048,2010-12-31,168.16,511243.0,85970622.88,GS,GOLDMAN SACHS GROUP INC,11,1,38141G10,28
83443,540,2010-12-31,80.11,1037799.0,83138077.89,BRK,BERKSHIRE HATHAWAY INC DEL,11,1,08467070,29
84788,15473,2010-12-31,180.0,451000.0,81180000.0,AMZN,AMAZON COM INC,11,3,02313510,30
43449,21177,2010-12-31,76.76,1056507.0,81097477.32000001,MCD,MCDONALDS CORP,11,1,58013510,31
77178,11253,2010-12-31,49.49,1634000.0,80866660.0,QCOM,QUALCOMM INC,11,3,74752510,32
34833,21322,2010-12-31,98.1,812586.0,79714686.6,OXY,OCCIDENTAL PETROLEUM CORP,11,1,67459910,33
20482,20017,2010-12-31,47.91,1545816.0,74060044.55999999,ABT,ABBOTT LABORATORIES,11,1,00282410,34
17830,21832,2010-12-31,78.72,923407.0,72690599.03999999,UTX,UNITED TECHNOLOGIES CORP,11,1,91301710,35
26403,20587,2010-12-31,37.51,1893584.0,71028335.84,DIS,DISNEY WALT CO,11,1,25468710,36
22592,21205,2010-12-31,86.3,714859.0,61692331.699999996,MMM,3M CO,11,1,88579Y10,37
18542,20408,2010-12-31,93.66,634703.0,59446282.98,CAT,CATERPILLAR INC,11,1,14912310,38
12369,53554,2010-12-31,36.86,1571700.0,57932862.0,GM,GENERAL MOTORS CO,11,1,37045V10,39
66181,5085,2010-12-31,35.06,1638821.0,57457064.260000005,HD,HOME DEPOT INC,11,1,43707610,40
25785,20750,2010-12-31,16.79,3401803.0,57116272.37,F,FORD MOTOR CO DEL,11,1,34537086,41
81774,20763,2010-12-31,120.09,471000.0,56562390.0,FCX,FREEPORT MCMORAN COPPER & GOLD,11,1,35671D85,42
89006,41680,2010-12-31,31.51,1746774.0,55040848.74,KFT,KRAFT FOODS INC,11,1,50075N10,43
87447,36383,2010-12-31,72.58,728907.0,52904070.06,UPS,UNITED PARCEL SERVICE INC,11,1,91131210,44
66157,1645,2010-12-31,26.97,1918307.0,51736739.79,USB,U S BANCORP DEL,11,1,90297330,45
59176,90,2010-12-31,42.92,1203764.0,51665550.88,AXP,AMERICAN EXPRESS CO,11,1,02581610,46
13901,21398,2010-12-31,24.62,2087827.0,51402300.74,MO,ALTRIA GROUP INC,11,1,02209S10,47
14008,216,2010-12-31,54.9,932000.0,51166800.0,AMGN,AMGEN INC,11,3,03116210,48
19561,20315,2010-12-31,65.26,733580.0,47873430.800000004,BA,BOEING CO,11,1,09702310,49
17005,21185,2010-12-31,34.77,1358800.0,47245476.00000001,CVS,C V S CAREMARK CORP,11,1,12665010,50
10147,8093,2010-12-31,22.9,2060396.0,47183068.4,EMC,E M C CORP MA,11,1,26864810,51
48725,21810,2010-12-31,92.66,493149.0,45695186.339999996,UNP,UNION PACIFIC CORP,11,1,90781810,52
11703,20606,2010-12-31,49.88,912894.0,45535152.72,DD,DU PONT E I DE NEMOURS & CO,11,1,26353410,53
89525,43613,2010-12-31,21.97,2069590.0,45468892.3,CMCSA,COMCAST CORP NEW,11,3,20030N10,54
19393,20331,2010-12-31,26.48,1711685.0,45325418.8,BMY,BRISTOL MYERS SQUIBB CO,11,1,11012210,55
87842,37138,2010-12-31,44.44,985255.0,43784732.199999996,MET,METLIFE INC,11,1,59156R10,56
39490,20204,2010-12-31,119.23,364591.0,43470184.93,APA,APACHE CORP,11,1,03741110,57
22103,20643,2010-12-31,57.17,754285.0,43122473.45,EMR,EMERSON ELECTRIC CO,11,1,29101110,58
49154,20561,2010-12-31,60.13,708082.0,42576970.660000004,TGT,TARGET CORP,11,1,87612E10,59
10145,22168,2010-12-31,53.16,780173.0,41473996.68,HON,HONEYWELL INTERNATIONAL INC,11,1,43851610,60
82800,31574,2010-12-31,48.74,850000.0,41429000.0,SCCO,SOUTHERN COPPER CORP,11,1,84265V10,61
69032,21224,2010-12-31,27.21,1512877.0,41165383.17,MS,MORGAN STANLEY DEAN WITTER & CO,11,1,61744644,62
50876,21102,2010-12-31,35.04,1153143.0,40406130.72,LLY,LILLY ELI & CO,11,1,53245710,63
60097,2850,2010-12-31,37.09,1073476.0,39815224.84,MDT,MEDTRONIC INC,11,1,58505510,64
