permno,permco,date,prc,shrout,market_equity,ticker,comnam,shrcd,exchcd,ncusip,rank,row_id,gvkey,iid,cusip,cik,cik_norm,conm,filing_date,form_type,accession_number,file_name,file_path
11850,20678,2010-12-31,73.12,5042557.0,368711767.84,XOM,EXXON MOBIL CORP,11,1,30231G10,1,0,004503,01,30231G102,0000034088,34088,EXXON MOBIL CORP,,,,,
14593,7,2010-12-31,322.56,921035.0,297089049.6,AAPL,APPLE INC,11,3,03783310,2,1,001690,01,037833100,0000320193,320193,APPLE INC,2010-10-27,10-K,0001193125-10-238044,20101027_10-K_edgar_data_320193_0001193125-10-238044.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101027_10-K_edgar_data_320193_0001193125-10-238044.txt
10107,8048,2010-12-31,27.91,8403000.0,234527730.0,MSFT,MICROSOFT CORP,11,3,59491810,3,2,012141,01,594918104,0000789019,789019,MICROSOFT CORP,,,,,
12060,20792,2010-12-31,18.29,10654718.0,194874792.22,GE,GENERAL ELECTRIC CO,11,1,36960410,4,3,005047,01,369604301,0000040545,40545,GE AEROSPACE,,,,,
55976,21880,2010-12-31,53.93,3561994.0,192098336.42,WMT,WAL MART STORES INC,11,1,93114210,5,4,011259,01,931142103,0000104169,104169,WALMART INC,,,,,
14541,20440,2010-12-31,91.25,2012428.0,183634055.0,CVX,CHEVRON CORP NEW,11,1,16676410,6,5,002991,01,166764100,0000093410,93410,CHEVRON CORP,,,,,
12490,20990,2010-12-31,146.75999,1242361.0,182328887.93639,IBM,INTERNATIONAL BUSINESS MACHS COR,11,1,45920010,7,6,006066,01,459200101,0000051143,51143,INTL BUSINESS MACHINES CORP,,,,,
18163,21446,2010-12-31,64.33,2799193.0,180072085.69,PG,PROCTER & GAMBLE CO,11,1,74271810,8,7,008762,01,742718109,0000080424,80424,PROCTER & GAMBLE CO,,,,,
66093,21645,2010-12-31,29.38,5910000.0,173635800.0,T,A T & T INC,11,1,00206R10,9,8,009899,01,00206R102,0000732717,732717,AT&T INC,,,,,
22111,21018,2010-12-31,61.85,2746254.0,169855809.9,JNJ,JOHNSON & JOHNSON,11,1,47816010,10,9,006266,01,478160104,0000200406,200406,JOHNSON & JOHNSON,,,,,
47896,20436,2010-12-31,42.42,3909181.0,165827458.02,JPM,JPMORGAN CHASE & CO,11,1,46625H10,11,10,002968,01,46625H100,0000019617,19617,JPMORGAN CHASE & CO,,,,,
38703,21305,2010-12-31,30.99,5248756.0,162658948.44,WFC,WELLS FARGO & CO NEW,11,1,94974610,12,11,008007,01,949746101,0000072971,72971,WELLS FARGO & CO,,,,,
10104,8045,2010-12-31,31.3,5052420.0,158140746.0,ORCL,ORACLE CORP,11,3,68389X10,13,12,012142,01,68389X105,0001341439,1341439,ORACLE CORP,,,,,
11308,20468,2010-12-31,65.77,2322034.0,152720176.17999998,KO,COCA COLA CO,11,1,19121610,14,13,003144,01,191216100,0000021344,21344,COCA-COLA CO,,,,,
90319,45483,2010-12-31,593.96997,243611.0,144697618.36167,GOOG,GOOGLE INC,11,3,38259P50,15,14,160329,03,02079K107,0001652044,1652044,ALPHABET INC,,,,,
21936,21394,2010-12-31,17.51,8009951.0,140254242.01000002,PFE,PFIZER INC,11,1,71708110,16,15,008530,01,717081103,0000078003,78003,PFIZER INC,,,,,
70519,20483,2010-12-31,4.73,29049600.0,137404608.0,C,CITIGROUP INC,11,1,17296710,17,16,003243,01,172967424,0000831001,831001,CITIGROUP INC,,,,,
59408,3151,2010-12-31,13.34,10085147.0,134535860.98,BAC,BANK OF AMERICA CORP,11,1,06050510,18,17,007647,01,060505104,0000070858,70858,BANK OF AMERICA CORP,,,,,
59328,2367,2010-12-31,21.03,5511000.0,115896330.0,INTC,INTEL CORP,11,3,45814010,19,18,006008,01,458140100,0000050863,50863,INTEL CORP,,,,,
17778,540,2010-12-31,120450.0,956.0,115150200.0,BRK,BERKSHIRE HATHAWAY INC DEL,11,1,08467010,20,19,<NA>,,,,,,,,,,
76076,10486,2010-12-31,20.23,5542762.0,112130075.26,CSCO,CISCO SYSTEMS INC,11,3,17275R10,21,20,020779,01,17275R102,0000858877,858877,CISCO SYSTEMS INC,,,,,
22752,21188,2010-12-31,36.04,3080881.0,111034951.24,MRK,MERCK & CO INC NEW,11,1,58933Y10,22,21,007257,01,58933Y105,0000310158,310158,MERCK & CO INC,,,,,
92602,52978,2010-12-31,58.53,1814394.0,106196480.82,PM,PHILIP MORRIS INTERNATIONAL INC,11,1,71817210,23,22,179621,01,718172109,0001413329,1413329,PHILIP MORRIS INTERNATIONAL,,,,,
13856,21384,2010-12-31,65.33,1584841.0,103537662.53,PEP,PEPSICO INC,11,1,71344810,24,23,008479,01,713448108,0000077476,77476,PEPSICO INC,,,,,
65875,20288,2010-12-31,35.78,2826783.0,101142295.74,VZ,VERIZON COMMUNICATIONS INC,11,1,92343V10,25,24,002136,01,92343V104,0000732712,732712,VERIZON COMMUNICATIONS INC,,,,,
13928,21401,2010-12-31,68.1,1469225.0,100054222.5,COP,CONOCOPHILLIPS,11,1,20825C10,26,25,008549,01,20825C104,0001163165,1163165,CONOCOPHILLIPS,,,,,
27828,20908,2010-12-31,42.1,2190426.0,92216934.6,HPQ,HEWLETT PACKARD CO,11,1,42823610,27,26,005606,01,40434L105,0000047217,47217,HP INC,2010-12-15,10-K,0001047469-10-010444,20101215_10-K_edgar_data_47217_0001047469-10-010444.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101215_10-K_edgar_data_47217_0001047469-10-010444.txt
86868,35048,2010-12-31,168.16,511243.0,85970622.88,GS,GOLDMAN SACHS GROUP INC,11,1,38141G10,28,27,114628,01,38141G104,0000886982,886982,GOLDMAN SACHS GROUP INC,,,,,
83443,540,2010-12-31,80.11,1037799.0,83138077.89,BRK,BERKSHIRE HATHAWAY INC DEL,11,1,08467070,29,28,<NA>,,,,,,,,,,
84788,15473,2010-12-31,180.0,451000.0,81180000.0,AMZN,AMAZON COM INC,11,3,02313510,30,29,064768,01,023135106,0001018724,1018724,AMAZON.COM INC,,,,,
43449,21177,2010-12-31,76.76,1056507.0,81097477.32000001,MCD,MCDONALDS CORP,11,1,58013510,31,30,007154,01,580135101,0000063908,63908,MCDONALD'S CORP,,,,,
77178,11253,2010-12-31,49.49,1634000.0,80866660.0,QCOM,QUALCOMM INC,11,3,74752510,32,31,024800,01,747525103,0000804328,804328,QUALCOMM INC,2010-11-03,10-K,0000950123-10-100207,20101103_10-K_edgar_data_804328_0000950123-10-100207.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101103_10-K_edgar_data_804328_0000950123-10-100207.txt
34833,21322,2010-12-31,98.1,812586.0,79714686.6,OXY,OCCIDENTAL PETROLEUM CORP,11,1,67459910,33,32,008068,01,674599105,0000797468,797468,OCCIDENTAL PETROLEUM CORP,,,,,
20482,20017,2010-12-31,47.91,1545816.0,74060044.55999999,ABT,ABBOTT LABORATORIES,11,1,00282410,34,33,001078,01,002824100,0000001800,1800,ABBOTT LABORATORIES,,,,,
17830,21832,2010-12-31,78.72,923407.0,72690599.03999999,UTX,UNITED TECHNOLOGIES CORP,11,1,91301710,35,34,<NA>,,,,,,,,,,
26403,20587,2010-12-31,37.51,1893584.0,71028335.84,DIS,DISNEY WALT CO,11,1,25468710,36,35,003980,01,254687106,0001744489,1744489,DISNEY (WALT) CO,,,,,
22592,21205,2010-12-31,86.3,714859.0,61692331.7,MMM,3M CO,11,1,88579Y10,37,36,007435,01,88579Y101,0000066740,66740,3M CO,,,,,
18542,20408,2010-12-31,93.66,634703.0,59446282.98,CAT,CATERPILLAR INC,11,1,14912310,38,37,002817,01,149123101,0000018230,18230,CATERPILLAR INC,,,,,
12369,53554,2010-12-31,36.86,1571700.0,57932862.0,GM,GENERAL MOTORS CO,11,1,37045V10,39,38,005073,19,37045V100,0001467858,1467858,GENERAL MOTORS CO,,,,,
66181,5085,2010-12-31,35.06,1638821.0,57457064.260000005,HD,HOME DEPOT INC,11,1,43707610,40,39,005680,01,437076102,0000354950,354950,HOME DEPOT INC,,,,,
25785,20750,2010-12-31,16.79,3401803.0,57116272.37,F,FORD MOTOR CO DEL,11,1,34537086,41,40,004839,01,345370860,0000037996,37996,FORD MOTOR CO,,,,,
81774,20763,2010-12-31,120.09,471000.0,56562390.0,FCX,FREEPORT MCMORAN COPPER & GOLD,11,1,35671D85,42,41,014590,02,35671D857,0000831259,831259,FREEPORT-MCMORAN INC,,,,,
89006,41680,2010-12-31,31.51,1746774.0,55040848.74,KFT,KRAFT FOODS INC,11,1,50075N10,43,42,<NA>,,,,,,,,,,
87447,36383,2010-12-31,72.58,728907.0,52904070.06,UPS,UNITED PARCEL SERVICE INC,11,1,91131210,44,43,010920,01,911312106,0001090727,1090727,UNITED PARCEL SERVICE INC,,,,,
66157,1645,2010-12-31,26.97,1918307.0,51736739.79,USB,U S BANCORP DEL,11,1,90297330,45,44,004723,01,902973304,0000036104,36104,US BANCORP,,,,,
59176,90,2010-12-31,42.92,1203764.0,51665550.88,AXP,AMERICAN EXPRESS CO,11,1,02581610,46,45,001447,01,025816109,0000004962,4962,AMERICAN EXPRESS CO,,,,,
13901,21398,2010-12-31,24.62,2087827.0,51402300.74,MO,ALTRIA GROUP INC,11,1,02209S10,47,46,008543,01,02209S103,0000764180,764180,ALTRIA GROUP INC,,,,,
14008,216,2010-12-31,54.9,932000.0,51166800.0,AMGN,AMGEN INC,11,3,03116210,48,47,001602,01,031162100,0000318154,318154,AMGEN INC,,,,,
19561,20315,2010-12-31,65.26,733580.0,47873430.8,BA,BOEING CO,11,1,09702310,49,48,002285,01,097023105,0000012927,12927,BOEING CO,,,,,
17005,21185,2010-12-31,34.77,1358800.0,47245476.00000001,CVS,C V S CAREMARK CORP,11,1,12665010,50,49,007241,01,126650100,0000064803,64803,CVS HEALTH CORP,,,,,
10147,8093,2010-12-31,22.9,2060396.0,47183068.4,EMC,E M C CORP MA,11,1,26864810,51,50,042939,01,37960A644,,<NA>,EMERGING MARKET CONSUMER ETF,,,,,
48725,21810,2010-12-31,92.66,493149.0,45695186.34,UNP,UNION PACIFIC CORP,11,1,90781810,52,51,010867,01,907818108,0000100885,100885,UNION PACIFIC CORP,,,,,
11703,20606,2010-12-31,49.88,912894.0,45535152.72,DD,DU PONT E I DE NEMOURS & CO,11,1,26353410,53,52,004060,01,26614N102,0001666700,1666700,DUPONT DE NEMOURS INC,,,,,
89525,43613,2010-12-31,21.97,2069590.0,45468892.3,CMCSA,COMCAST CORP NEW,11,3,20030N10,54,53,003226,01,20030N101,0001166691,1166691,COMCAST CORP,,,,,
19393,20331,2010-12-31,26.48,1711685.0,45325418.8,BMY,BRISTOL MYERS SQUIBB CO,11,1,11012210,55,54,002403,01,110122108,0000014272,14272,BRISTOL-MYERS SQUIBB CO,,,,,
87842,37138,2010-12-31,44.44,985255.0,43784732.2,MET,METLIFE INC,11,1,59156R10,56,55,133768,01,59156R108,0001099219,1099219,METLIFE INC,2010-11-22,10-K-A,0000950123-10-107876,20101122_10-K-A_edgar_data_1099219_0000950123-10-107876.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101122_10-K-A_edgar_data_1099219_0000950123-10-107876.txt
39490,20204,2010-12-31,119.23,364591.0,43470184.93,APA,APACHE CORP,11,1,03741110,57,56,001678,01,03743Q108,0001841666,1841666,APA CORP,,,,,
