permno,permco,date,prc,shrout,market_equity,ticker,comnam,shrcd,exchcd,ncusip,rank,row_id,gvkey,iid,cusip,cik,cik_norm,conm,filing_date,form_type,accession_number,file_name,file_path
14593,7,2010-12-31,322.56,921035.0,297089049.6,AAPL,APPLE INC,11,3,03783310,2,1,001690,01,037833100,0000320193,320193,APPLE INC,2010-10-27,10-K,0001193125-10-238044,20101027_10-K_edgar_data_320193_0001193125-10-238044.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101027_10-K_edgar_data_320193_0001193125-10-238044.txt
27828,20908,2010-12-31,42.1,2190426.0,92216934.6,HPQ,HEWLETT PACKARD CO,11,1,42823610,27,26,005606,01,40434L105,0000047217,47217,HP INC,2010-12-15,10-K,0001047469-10-010444,20101215_10-K_edgar_data_47217_0001047469-10-010444.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101215_10-K_edgar_data_47217_0001047469-10-010444.txt
77178,11253,2010-12-31,49.49,1634000.0,80866660.0,QCOM,QUALCOMM INC,11,3,74752510,32,31,024800,01,747525103,0000804328,804328,QUALCOMM INC,2010-11-03,10-K,0000950123-10-100207,20101103_10-K_edgar_data_804328_0000950123-10-100207.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101103_10-K_edgar_data_804328_0000950123-10-100207.txt
87842,37138,2010-12-31,44.44,985255.0,43784732.2,MET,METLIFE INC,11,1,59156R10,56,55,133768,01,59156R108,0001099219,1099219,METLIFE INC,2010-11-22,10-K-A,0000950123-10-107876,20101122_10-K-A_edgar_data_1099219_0000950123-10-107876.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101122_10-K-A_edgar_data_1099219_0000950123-10-107876.txt
22103,20643,2010-12-31,57.17,754285.0,43122473.45,EMR,EMERSON ELECTRIC CO,11,1,29101110,58,57,004321,01,291011104,0000032604,32604,EMERSON ELECTRIC CO,2010-11-23,10-K,0001144204-10-063258,20101123_10-K_edgar_data_32604_0001144204-10-063258.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101123_10-K_edgar_data_32604_0001144204-10-063258.txt
19350,20566,2010-12-31,83.05,422711.0,35106148.55,DE,DEERE & CO,11,1,24419910,77,76,003835,01,244199105,0000315189,315189,DEERE & CO,2010-12-17,10-K,0001104659-10-063219,20101217_10-K_edgar_data_315189_0001104659-10-063219.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101217_10-K_edgar_data_315189_0001104659-10-063219.txt
92611,52983,2010-12-31,70.38,496799.0,34964713.62,V,VISA INC,11,1,92826C83,78,77,179534,01,92826C839,0001403161,1403161,VISA INC,2010-11-19,10-K,0001193125-10-265236,20101119_10-K_edgar_data_1403161_0001193125-10-265236.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101119_10-K_edgar_data_1403161_0001193125-10-265236.txt
87055,7882,2010-12-31,72.21,436525.0,31521470.25,COST,COSTCO WHOLESALE CORP NEW,11,3,22160K10,86,85,029028,01,22160K105,0000909832,909832,COSTCO WHOLESALE CORP,2010-10-18,10-K,0001193125-10-230379,20101018_10-K_edgar_data_909832_0001193125-10-230379.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101018_10-K_edgar_data_909832_0001193125-10-230379.txt
42534,21019,2010-12-31,38.2,676875.0,25856625.000000004,JCI,JOHNSON CONTROLS INC,11,1,47836610,108,107,006268,01,G51502105,0000833444,833444,JOHNSON CONTROLS INTL PLC,2010-11-12,10-K,0001047469-10-009627,20101112_10-K_edgar_data_833444_0001047469-10-009627.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101112_10-K_edgar_data_833444_0001047469-10-009627.txt
28484,20064,2010-12-31,76.54,328755.0,25162907.700000003,HES,HESS CORP,11,1,42809H10,112,111,001380,01,42809H107,0000004447,4447,HESS CORP,2010-11-08,10-K-A,0000950123-10-102589,20101108_10-K-A_edgar_data_4447_0000950123-10-102589.txt,D:\HEC\Courses\TM3\Data\Project 2\data\data\2010\QTR4_10-K_files\20101108_10-K-A_edgar_data_4447_0000950123-10-102589.txt
