gvkey,iid,gvkeyx,from,thru,tic,cik,fdate,form,coname,fname
001075,01,000003,1999-10-04,,PNW,,,,,
001300,01,000003,1964-03-31,,HON,,,,,
001598,01,000003,2013-09-23,,AME,,,,,
001602,01,000003,1992-01-02,,AMGN,,,,,
001878,01,000003,1989-12-01,,ADSK,,,,,
001988,01,000003,1984-10-31,,BALL,,,,,
002019,01,000003,1995-03-31,,BK,,,,,
002086,01,000003,1972-09-30,,BAX,,,,,
002111,01,000003,1972-09-30,,BDX,,,,,
002136,01,000003,1983-11-30,,VZ,,,,,
002176,02,000003,2010-02-16,,BRK.B,,,,,
002184,01,000003,1999-06-30,,BBY,,,,,
002285,01,000003,1964-03-31,,BA,,,,,
002403,01,000003,1964-03-31,,BMY,,,,,
002435,01,000003,1982-10-31,,BF.B,,,,,
002547,01,000003,1976-06-30,,CI,,,,,
002574,01,000003,1967-09-30,,CSX,,,,,
002663,01,000003,1964-03-31,,CPB,,,,,
002710,02,000003,2005-07-05,,STZ,,,,,
002751,01,000003,1997-05-27,,CAH,,,,,
002817,01,000003,1964-03-31,,CAT,,,,,
002968,01,000003,1976-06-30,,JPM,,,,,
002991,01,000003,1964-03-31,,CVX,,,,,
003026,01,000003,2015-12-29,,CHD,,,,,
003062,01,000003,2001-03-01,,CTAS,,,,,
003121,01,000003,1969-03-31,,CLX,,,,,
003144,01,000003,1964-03-31,,KO,,,,,
003170,01,000003,1964-03-31,,CL,,,,,
003221,01,000003,1996-04-23,,AON,,,,,
003226,01,000003,2002-11-19,,CMCSA,,,,,
003243,01,000003,1988-05-31,,C,,,,,
003362,01,000003,1983-08-31,,CAG,,,,,
003413,01,000003,1964-03-31,,ED,,,,,
003439,01,000003,1999-05-03,,CMS,,,,,
003504,01,000003,2016-09-23,,COO,,,,,
003505,01,000003,1976-06-30,,TAP,,,,,
003532,01,000003,1964-03-31,,GLW,,,,,
003650,01,000003,1965-03-31,,CMI,,,,,
003735,01,000003,1998-11-18,,DHR,,,,,
003813,01,000003,1976-12-31,,TGT,,,,,
003835,01,000003,1964-03-31,,DE,,,,,
003851,03,000003,2013-09-11,,DAL,,,,,
003897,01,000003,1964-03-31,,DTE,,,,,
003980,01,000003,1976-06-30,,DIS,,,,,
004016,02,000003,2012-12-03,,DG,,,,,
004029,01,000003,1964-03-31,,D,,,,,
004058,01,000003,1985-10-31,,DOV,,,,,
004060,01,000003,1964-03-31,,DD,,,,,
004066,01,000003,1997-12-24,,OMC,,,,,
004093,01,000003,1976-06-30,,DUK,,,,,
004145,01,000003,1985-05-31,,RVTY,,,,,
004199,01,000003,1964-03-31,,ETN,,,,,
004213,01,000003,1989-01-31,,ECL,,,,,
